run_dir,w_lpm,w_volatility,w_cost,n_scenarios,sac_mean_pnl,naive_mean_pnl,diff_mean_pnl_vs_naive,sac_es95,naive_es95,diff_es95_vs_naive,sac_he,naive_he,diff_he_vs_naive,mean_h_diagnostic,turnover_h,flag_mean_pnl_better_than_naive,flag_es95_better_than_naive,flag_he_better_than_naive,flags_total,rank_score
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T10003_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.1_wLPM0.45_wVOL0.35_wCOST0.2,0.45,0.35,0.2,50652,298609.04732369905,251676.30192371484,46932.74539998421,-7949452.398811685,-6653209.414350571,-1296242.9844611138,0.7428334627203801,0.7943924975112011,-0.05155903479082102,0.8497356271167499,0.6332420038646698,True,False,False,1,6.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T10005_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.1_wLPM0.4_wVOL0.4_wCOST0.2,0.4,0.4,0.2,50652,281163.85424149106,251676.30192371484,29487.552317776222,-8141006.698535333,-6653209.414350571,-1487797.2841847623,0.7327567554569553,0.7943924975112011,-0.06163574205424582,0.8630535543920455,0.6120204822767726,True,False,False,1,10.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T10002_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.1_wLPM0.5_wVOL0.35_wCOST0.15,0.5,0.35,0.15,50652,347292.8224954594,251676.30192371484,95616.52057174456,-7950973.931642321,-6653209.414350571,-1297764.5172917498,0.7286635947215769,0.7943924975112011,-0.06572890278962418,0.8171516925419852,0.6956840253263932,True,False,False,1,11.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T10004_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.1_wLPM0.35_wVOL0.35_wCOST0.3,0.35,0.35,0.3,50652,285307.1155144912,251676.30192371484,33630.81359077638,-8301089.424622975,-6653209.414350571,-1647880.0102724042,0.7196812803240502,0.7943924975112011,-0.0747112171871509,0.8526993103397545,0.6411225511420856,True,False,False,1,14.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware,0.3,0.5,0.2,50652,242421.56311774478,251676.30192371484,-9254.73880597006,-8845536.806975916,-6653209.414350571,-2192327.392625345,0.7164246477630656,0.7943924975112011,-0.07796784974813553,0.8542233058976368,0.6682076288545745,False,False,False,0,19.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T2001_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.1_wLPM0.45_wVOL0.35_wCOST0.2,0.45,0.35,0.2,50652,237583.47143330966,251676.30192371484,-14092.830490405177,-9089393.795799445,-6653209.414350571,-2436184.3814488743,0.6657420148127876,0.7943924975112011,-0.1286504826984135,0.8351194483883418,1.0032338792277253,False,False,False,0,26.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T10016_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.1_wLPM0.3_wVOL0.5_wCOST0.2,0.3,0.5,0.2,50652,201074.85499170836,251676.30192371484,-50601.44693200648,-9150511.864192655,-6653209.414350571,-2497302.449842084,0.7040667928565132,0.7943924975112011,-0.09032570465468792,0.8113313041637609,0.7126876517366593,False,False,False,0,36.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T501_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.1_wLPM0.45_wVOL0.35_wCOST0.2,0.45,0.35,0.2,50652,207397.23377240766,251676.30192371484,-44279.068151307176,-12821644.783446508,-6653209.414350571,-6168435.369095936,0.4866858441878029,0.7943924975112011,-0.3077066533233982,0.7199030732475011,1.7561251502960813,False,False,False,0,49.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T502_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.1_wLPM0.45_wVOL0.3_wCOST0.25,0.45,0.3,0.25,50652,207397.23377240766,251676.30192371484,-44279.068151307176,-12821644.783446508,-6653209.414350571,-6168435.369095936,0.4866858441878029,0.7943924975112011,-0.3077066533233982,0.7199030732475011,1.7561251502960813,False,False,False,0,49.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T503_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.1_wLPM0.4_wVOL0.35_wCOST0.25,0.4,0.35,0.25,50652,207397.23377240766,251676.30192371484,-44279.068151307176,-12821644.783446508,-6653209.414350571,-6168435.369095936,0.4866858441878029,0.7943924975112011,-0.3077066533233982,0.7199030732475011,1.7561251502960813,False,False,False,0,49.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T504_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.1_wLPM0.5_wVOL0.3_wCOST0.2,0.5,0.3,0.2,50652,207397.23377240766,251676.30192371484,-44279.068151307176,-12821644.783446508,-6653209.414350571,-6168435.369095936,0.4866858441878029,0.7943924975112011,-0.3077066533233982,0.7199030732475011,1.7561251502960813,False,False,False,0,49.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T505_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.1_wLPM0.5_wVOL0.35_wCOST0.15,0.5,0.35,0.15,50652,207397.23377240766,251676.30192371484,-44279.068151307176,-12821644.783446508,-6653209.414350571,-6168435.369095936,0.4866858441878029,0.7943924975112011,-0.3077066533233982,0.7199030732475011,1.7561251502960813,False,False,False,0,49.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T506_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.1_wLPM0.4_wVOL0.4_wCOST0.2,0.4,0.4,0.2,50652,207397.23377240766,251676.30192371484,-44279.068151307176,-12821644.783446508,-6653209.414350571,-6168435.369095936,0.4866858441878029,0.7943924975112011,-0.3077066533233982,0.7199030732475011,1.7561251502960813,False,False,False,0,49.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T507_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.1_wLPM0.45_wVOL0.4_wCOST0.15,0.45,0.4,0.15,50652,207397.23377240766,251676.30192371484,-44279.068151307176,-12821644.783446508,-6653209.414350571,-6168435.369095936,0.4866858441878029,0.7943924975112011,-0.3077066533233982,0.7199030732475011,1.7561251502960813,False,False,False,0,49.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T508_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.1_wLPM0.5_wVOL0.25_wCOST0.25,0.5,0.25,0.25,50652,207397.23377240766,251676.30192371484,-44279.068151307176,-12821644.783446508,-6653209.414350571,-6168435.369095936,0.4866858441878029,0.7943924975112011,-0.3077066533233982,0.7199030732475011,1.7561251502960813,False,False,False,0,49.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T509_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.1_wLPM0.55_wVOL0.25_wCOST0.2,0.55,0.25,0.2,50652,207397.23377240766,251676.30192371484,-44279.068151307176,-12821644.783446508,-6653209.414350571,-6168435.369095936,0.4866858441878029,0.7943924975112011,-0.3077066533233982,0.7199030732475011,1.7561251502960813,False,False,False,0,49.0
rl_outputs/sac_portfolio_lpm/opec_sac_lpm3aware_ROLL_T510_train2.0y_val6.0m_test6.0m_hmin0.0_hmax1.25_dh0.1_wLPM0.45_wVOL0.45_wCOST0.1,0.45,0.45,0.1,50652,207397.23377240766,251676.30192371484,-44279.068151307176,-12821644.783446508,-6653209.414350571,-6168435.369095936,0.4866858441878029,0.7943924975112011,-0.3077066533233982,0.7199030732475011,1.7561251502960813,False,False,False,0,49.0
